studyid,total1,event1,total0,event0,noevent0,noevent1,rid,sim,mu0true,ortrue,tausqtrue,sigmasqtrue,nstudies,studysize
49653/011,357,2,176,0,176,355,1,1,,,,,56,
49653/020,391,2,207,1,206,389,2,1,,,,,56,
49653/024,774,1,185,1,184,773,3,1,,,,,56,
49653/093,213,0,109,1,108,213,4,1,,,,,56,
49653/094,232,1,116,0,116,231,5,1,,,,,56,
100684,43,0,47,1,46,43,6,1,,,,,56,
49653/143,121,1,124,0,124,120,7,1,,,,,56,
49653/211,110,5,114,2,112,105,8,1,,,,,56,
49653/284,382,1,384,0,384,381,9,1,,,,,56,
712753/008,284,1,135,0,135,283,10,1,,,,,56,
AVM100264,294,0,302,1,301,294,11,1,,,,,56,
BRL 49653/015,563,2,142,0,142,561,12,1,,,,,56,
BRL 49653/334,278,2,279,1,278,276,13,1,,,,,56,
BRL 49653/347,418,2,212,0,212,416,14,1,,,,,56,
49653/015,395,2,198,1,197,393,15,1,,,,,56,
49653/079,203,1,106,1,105,202,16,1,,,,,56,
49653/080,104,1,99,2,97,103,17,1,,,,,56,
49653/082,212,2,107,0,107,210,18,1,,,,,56,
49653/085,138,3,139,1,138,135,19,1,,,,,56,
49653/095,196,0,96,0,96,196,20,1,,,,,56,
49653/097,122,0,120,1,119,122,21,1,,,,,56,
49653/125,175,0,173,1,172,175,22,1,,,,,56,
49653/127,56,1,58,0,58,55,23,1,,,,,56,
49653/128,39,1,58,0,58,38,24,1,,,,,56,
49653/134,561,0,276,2,274,561,25,1,,,,,56,
49653/135,116,2,111,3,108,114,26,1,,,,,56,
49653/136,148,1,143,0,143,147,27,1,,,,,56,
49653/145,231,1,242,0,242,230,28,1,,,,,56,
49653/147,89,1,88,0,88,88,29,1,,,,,56,
49653/162,168,1,172,0,172,167,30,1,,,,,56,
49653/234,116,0,61,0,61,116,31,1,,,,,56,
49653/330,1172,1,377,1,376,1171,32,1,,,,,56,
49653/331,706,0,325,0,325,706,33,1,,,,,56,
49653/137,204,1,185,2,183,203,34,1,,,,,56,
SB-712753/002,288,1,280,0,280,287,35,1,,,,,56,
SB-712753/003,254,1,272,0,272,253,36,1,,,,,56,
SB-712753/007,314,1,154,0,154,313,37,1,,,,,56,
SB-712753/009,162,0,160,0,160,162,38,1,,,,,56,
49653/132,442,1,112,0,112,441,39,1,,,,,56,
AVA100193,394,1,124,0,124,393,40,1,,,,,56,
AVD102209,132,0,131,0,131,132,41,1,,,,,56,
AVD104742,160,0,213,0,213,160,42,1,,,,,56,
AVD100521,331,8,337,7,330,323,43,1,,,,,56,
AVA105640,331,1,250,1,249,330,44,1,,,,,56,
ARA102198,49,0,49,0,49,49,45,1,,,,,56,
49653/044,101,0,51,0,51,101,46,1,,,,,56,
49653/096,232,0,115,0,115,232,47,1,,,,,56,
49653/109,52,0,25,0,25,52,48,1,,,,,56,
49653/325,196,0,195,0,195,196,49,1,,,,,56,
49653/282,70,0,75,0,75,70,50,1,,,,,56,
49653/351,28,0,29,0,29,28,51,1,,,,,56,
49653/369,25,0,24,0,24,25,52,1,,,,,56,
49653/452,26,0,24,0,24,26,53,1,,,,,56,
DREAM trial,2635,15,2634,9,2625,2620,54,1,,,,,56,
ADOPT ,1456,27,2895,41,2854,1429,55,1,,,,,56,
RECORD trial,2220,64,2227,56,2171,2156,56,1,,,,,56,
